trained_at,best_model,accuracy,log_loss,roc_auc,brier,ece,odds_ens_accuracy,odds_ens_log_loss
2026-06-09T22:20:43.830420,target_ensemble,0.662846,0.60798,0.731235,0.210372,0.023395,,
2026-06-12T00:39:39.193592,target_routed_ensemble,0.676551,0.600981,0.739691,0.206997,0.020544,0.698489,0.583159
2026-06-12T14:49:05.538746,target_routed_ensemble,0.673561,0.600585,0.739764,0.206873,0.022291,0.696324,0.581776
2026-06-12T15:35:33.738498,target_routed_ensemble,0.673561,0.600585,0.739764,0.206873,0.022291,0.696324,0.581776
